second,avg_latency_ms_consul,throughput_consul,avg_cpu_consul,avg_memory_mb_consul,avg_latency_ms_etcd,throughput_etcd,avg_cpu_etcd,avg_memory_mb_etcd,avg_latency_ms_etcd2,throughput_etcd2,avg_cpu_etcd2,avg_memory_mb_etcd2,avg_latency_ms_zk,throughput_zk,avg_cpu_zk,avg_memory_mb_zk
379,14.163271,70,8.16,67.92,,,,,,,,,,,,
380,14.383925,70,8.16,67.92,,,,,,,,,,,,
381,14.215408,70,8.16,67.92,,,,,,,,,,,,
382,14.156150,70,8.16,68.27,,,,,,,,,,,,
383,14.060910,72,8.17,68.27,,,,,,,,,,,,
384,14.092256,71,8.17,68.27,,,,,,,,,,,,
385,14.136908,70,8.17,68.27,,,,,,,,,,,,
386,14.458634,69,8.18,68.35,,,,,,,,,,,,
387,14.013219,72,8.18,68.35,,,,,,,,,,,,
388,13.777981,72,8.19,68.35,,,,,,,,,,,,
389,13.915525,72,8.20,68.44,,,,,,,,,,,,
390,14.029138,72,8.20,68.44,,,,,,,,,,,,
391,14.048421,71,8.20,68.44,,,,,,,,,,,,
392,13.931244,71,8.20,68.44,,,,,,,,,,,,
393,14.286808,70,8.21,68.44,,,,,,,,,,,,
394,13.836444,73,8.21,68.44,,,,,,,,,,,,
395,14.257978,70,8.21,68.44,,,,,,,,,,,,
396,14.065612,71,8.22,68.44,,,,,,,,,,,,
397,13.915003,72,8.22,68.44,,,,,,,,,,,,
398,13.969450,71,8.23,68.44,,,,,,,,,,,,
399,14.033711,71,8.22,68.44,,,,,,,,,,,,
400,14.537493,69,8.23,68.53,,,,,,,,,,,,
401,13.972417,72,8.23,68.53,,,,,,,,,,,,
402,14.045976,71,8.24,68.53,,,,,,,,,,,,
403,13.956389,72,8.23,68.62,,,,,,,,,,,,
404,14.075267,71,8.24,68.70,,,,,,,,,,,,
405,14.127370,70,8.25,68.70,,,,,,,,,,,,
406,14.040497,72,8.25,68.70,,,,,,,,,,,,
407,14.233587,70,8.25,68.70,,,,,,,,,,,,
408,14.138583,71,8.26,68.88,,,,,,,,,,,,
409,14.430390,69,8.26,68.88,,,,,,,,,,,,
410,13.827067,72,8.27,68.88,,,,,,,,,,,,
411,14.126768,71,8.26,68.88,,,,,,,,,,,,
412,13.686732,73,8.27,68.97,,,,,,,,,,,,
413,14.177550,70,8.27,68.97,,,,,,,,,,,,
414,13.735788,73,8.28,68.97,,,,,,,,,,,,
415,13.717246,73,8.28,69.05,,,,,,,,,,,,
416,14.380510,70,8.28,69.23,,,,,,,,,,,,
417,14.273080,70,8.28,69.23,,,,,,,,,,,,
418,14.222143,70,8.29,69.23,,,,,,,,,,,,
419,13.878140,72,8.28,69.23,,,,,,,,,,,,
420,14.327102,70,8.29,69.41,,,,,,,,,,,,
421,14.315108,70,8.30,69.41,,,,,,,,,,,,
422,14.045454,71,8.30,69.41,,,,,,,,,,,,
423,13.871182,72,8.30,69.49,,,,,,,,,,,,
424,14.068747,71,8.30,69.58,,,,,,,,,,,,
425,13.832287,72,8.30,69.67,,,,,,,,,,,,
426,14.002169,72,8.30,69.83,,,,,,,,,,,,
427,13.794260,72,8.31,69.92,,,,,,,,,,,,
428,13.783023,73,8.31,70.01,,,,,,,,,,,,
429,13.876467,72,8.31,70.01,,,,,,,,,,,,
430,14.066671,71,8.32,70.01,,,,,,,,,,,,
431,13.855017,72,8.32,70.01,,,,,,,,,,,,
432,14.019263,71,8.32,64.76,,,,,,,,,,,,
433,14.217079,71,8.33,64.94,,,,,,,,,,,,
434,13.918693,71,8.33,65.11,,,,,,,,,,,,
435,13.735704,73,8.33,65.20,,,,,,,,,,,,
436,14.347123,70,8.33,65.20,,,,,,,,,,,,
437,13.853932,72,8.34,65.28,,,,,,,,,,,,
438,13.990068,71,8.34,65.37,,,,,,,,,,,,
439,14.004374,72,8.34,65.54,,,,,,,,,,,,
440,13.941796,72,8.34,65.75,,,,,,,,,,,,
441,13.855677,72,8.35,65.84,,,,,,,,,,,,
442,14.192005,70,8.35,65.84,,,,,,,,,,,,
443,13.594398,74,8.35,65.92,,,,,,,,,,,,
444,13.840933,72,8.35,66.01,,,,,,,,,,,,
445,14.040680,71,8.36,66.19,,,,,,,,,,,,
446,13.690150,73,8.36,66.28,,,,,,,,,,,,
447,14.312916,70,8.36,66.53,,,,,,,,,,,,
448,13.860303,72,8.36,66.53,,,,,,,,,,,,
449,13.748953,73,8.36,66.80,,,,,,,,,,,,
450,13.852935,72,8.37,66.80,,,,,,,,,,,,
451,13.845014,72,8.37,66.80,,,,,,,,,,,,
452,13.851870,72,8.37,66.89,,,,,,,,,,,,
453,14.043011,71,8.37,66.89,,,,,,,,,,,,
454,14.456990,70,8.38,66.97,,,,,,,,,,,,
455,14.076479,71,8.39,66.97,,,,,,,,,,,,
456,14.462156,69,8.39,66.97,,,,,,,,,,,,
457,14.099625,71,8.38,66.97,,,,,,,,,,,,
458,13.911905,71,8.39,67.23,,,,,,,,,,,,
459,13.634107,74,8.40,67.43,,,,,,,,,,,,
460,13.745136,73,8.40,67.52,,,,,,,,,,,,
461,13.862958,72,8.40,67.52,,,,,,,,,,,,
462,14.233164,70,8.40,67.61,,,,,,,,,,,,
463,13.707366,73,8.41,67.61,,,,,,,,,,,,
464,13.862857,72,8.41,67.69,,,,,,,,,,,,
465,13.439363,75,8.42,68.13,,,,,,,,,,,,
466,14.064172,71,8.41,68.13,,,,,,,,,,,,
467,14.007578,71,8.41,68.31,,,,,,,,,,,,
468,13.950678,72,8.42,68.40,,,,,,,,,,,,
469,13.958609,70,8.43,68.57,,,,,,,,,,,,
470,14.334600,71,8.42,68.66,,,,,,,,,,,,
471,14.121202,71,8.42,68.66,,,,,,,,,,,,
472,14.039628,71,8.42,69.01,,,,,,,,,,,,
473,13.649532,73,8.44,69.27,,,,,,,,,,,,
474,13.804008,73,8.43,69.27,,,,,,,,,,,,
475,13.682429,73,8.43,69.36,,,,,,,,,,,,
476,13.978734,71,8.45,72.39,,,,,,,,,,,,
477,14.471592,69,8.46,73.35,,,,,,,,,,,,
478,14.438232,69,8.46,74.15,,,,,,,,,,,,
479,14.526331,69,8.46,75.03,,,,,,,,,,,,
480,14.293660,70,8.46,75.03,,,,,,,,,,,,
481,14.558085,69,8.46,75.46,,,,,,,,,,,,
482,14.140883,70,8.47,75.46,,,,,,,,,,,,
483,14.368282,70,8.47,75.55,,,,,,,,,,,,
484,14.258299,70,8.47,75.55,,,,,,,,,,,,
485,14.319861,70,8.47,75.72,,,,,,,,,,,,
486,14.563177,69,8.48,75.90,,,,,,,,,,,,
487,14.308645,69,8.48,75.99,,,,,,,,,,,,
488,14.097459,72,8.48,76.07,,,,,,,,,,,,
489,13.958046,71,8.48,76.07,,,,,,,,,,,,
490,14.298340,70,8.48,76.16,,,,,,,,,,,,
491,13.540253,74,8.49,76.43,,,,,,,,,,,,
492,14.427514,69,8.49,76.43,,,,,,,,,,,,
493,13.777561,73,8.49,76.43,,,,,,,,,,,,
494,14.311807,70,8.50,76.52,,,,,,,,,,,,
495,14.333596,69,8.49,76.61,,,,,,,,,,,,
496,14.233753,71,8.50,76.61,,,,,,,,,,,,
497,14.237248,70,8.50,76.61,,,,,,,,,,,,
498,14.056012,71,8.50,76.61,,,,,,,,,,,,
499,13.649461,73,8.50,76.61,,,,,,,,,,,,
500,13.728434,73,8.50,76.61,,,,,,,,,,,,
501,13.946401,72,8.51,76.87,,,,,,,,,,,,
502,13.590017,73,8.51,76.87,,,,,,,,,,,,
503,13.984170,72,8.53,78.15,,,,,,,,,,,,
504,14.134522,70,8.52,80.01,,,,,,,,,,,,
505,13.965185,72,8.53,80.89,,,,,,,,,,,,
506,14.577159,69,8.53,82.56,,,,,,,,,,,,
507,14.041321,71,8.53,82.56,,,,,,,,,,,,
508,14.104825,71,8.54,82.83,,,,,,,,,,,,
509,14.224320,70,8.54,82.91,,,,,,,,,,,,
510,14.298466,70,8.54,83.27,,,,,,,,,,,,
511,14.775248,68,8.54,83.53,,,,,,,,,,,,
512,14.506885,68,8.56,88.19,,,,,,,,,,,,
513,14.501245,69,8.56,89.07,,,,,,,,,,,,
514,14.343616,70,8.57,90.74,,,,,,,,,,,,
515,14.920636,67,8.57,91.00,,,,,,,,,,,,
516,14.800740,68,8.57,91.18,,,,,,,,,,,,
517,14.767424,67,8.57,91.62,,,,,,,,,,,,
518,15.087842,67,8.58,91.62,,,,,,,,,,,,
519,14.599318,68,8.58,91.62,,,,,,,,,,,,
520,14.512244,69,8.59,91.62,,,,,,,,,,,,
521,14.729787,68,8.59,91.62,,,,,,,,,,,,
522,14.849374,67,8.59,91.71,,,,,,,,,,,,
523,14.837247,67,8.60,91.79,,,,,,,,,,,,
524,14.728359,68,8.60,91.79,,,,,,,,,,,,
525,14.545679,69,8.60,91.79,,,,,,,,,,,,
526,14.649409,68,8.61,91.79,,,,,,,,,,,,
527,14.524033,69,8.61,91.79,,,,,,,,,,,,
528,14.764690,68,8.61,91.79,,,,,,,,,,,,
529,14.588643,68,8.61,91.79,,,,,,,,,,,,
530,14.694861,69,8.62,91.79,,,,,,,,,,,,
531,14.577415,68,8.62,91.79,,,,,,,,,,,,
532,14.154755,71,8.62,91.79,,,,,,,,,,,,
533,14.443058,69,8.62,91.79,,,,,,,,,,,,
534,14.376177,70,8.63,91.79,,,,,,,,,,,,
535,14.290930,69,8.63,91.79,,,,,,,,,,,,
536,14.405709,70,8.63,91.79,,,,,,,,,,,,
537,14.818006,67,8.63,91.79,,,,,,,,,,,,
538,14.581224,69,8.64,91.79,,,,,,,,,,,,
539,14.527828,69,8.64,91.79,,,,,,,,,,,,
540,15.096212,66,8.64,91.79,,,,,,,,,,,,
541,14.547101,69,8.64,91.79,,,,,,,,,,,,
542,14.346452,69,8.65,91.79,,,,,,,,,,,,
543,14.304232,70,8.65,91.79,,,,,,,,,,,,
544,14.633670,68,8.65,91.79,,,,,,,,,,,,
545,14.094993,71,8.66,91.79,,,,,,,,,,,,
546,14.603688,69,8.66,91.79,,,,,,,,,,,,
