unix_ts,avg_latency_ms,throughput,cpu_1,memory_mb_1,cpu_2,memory_mb_2,cpu_3,memory_mb_3,avg_cpu,avg_memory_mb
1458768713,136.193403,5853,138.13,4608.94,133.48,4019.73,128.69,3527.55,133.43,4052.07
1458768714,109.625215,7468,137.13,4608.94,132.49,4019.73,127.73,3527.55,132.45,4052.07
1458768715,367.142930,2177,136.13,4608.94,131.52,4019.73,126.79,3527.55,131.48,4052.07
1458768716,282.134586,2054,135.15,4608.94,130.58,4019.73,125.87,3527.55,130.53,4052.07
1458768717,125.657728,6651,134.18,4608.94,129.63,4019.73,124.96,3527.55,129.59,4052.07
1458768718,519.850250,883,133.24,4608.94,128.70,4019.73,124.07,3527.55,128.67,4052.07
1458768719,862.702812,256,132.30,4608.94,127.78,4019.73,123.17,3527.55,127.75,4052.07
1458768720,462.009122,1105,131.37,4608.94,126.87,4019.73,122.29,3527.55,126.84,4052.07
1458768721,895.096574,434,130.44,4608.94,125.98,4019.73,121.43,3527.55,125.95,4052.07
1458768722,444.347368,1091,129.96,4608.94,125.34,4019.73,120.80,3527.55,125.37,4052.07
1458768723,407.850396,701,131.13,4608.94,125.96,4033.04,121.31,3527.55,126.13,4056.51
